Id,Latitude,Longitude,Bedrooms,Bathrooms,Square footage,Price,Amenities
39,42.387811,-71.081406,1,1,816,1855,Off-Street Parking|Picnic Area|Washer/Dryer|Dishwasher|Fitness Center|Secure Entrance|Central Air|Utilities Included|Stainless Steel Appliances|Pool|Granite Countertops
40,42.332622,-71.10583,2,1,1598,2680,Dishwasher|Granite Countertops|Washer/Dryer|Off-Street Parking
41,42.379912,-71.126471,2,1,948,2442,Secure Entrance|Granite Countertops|Central Air|Stainless Steel Appliances|Off-Street Parking|Picnic Area|Dishwasher
42,42.337089,-71.129925,3,3,1881,3832,Off-Street Parking|Fitness Center|Secure Entrance|Utilities Included|Granite Countertops|Stainless Steel Appliances|Dishwasher|Washer/Dryer
43,42.324056,-71.130477,0,1,277,1107,Picnic Area|Washer/Dryer|Off-Street Parking|Utilities Included|Dishwasher
44,42.389472,-71.118484,0,1,392,825,Central Air|Dishwasher
45,42.383957,-71.097771,0,1,615,1080,Washer/Dryer|Central Air|Stainless Steel Appliances|Picnic Area|Pool|Off-Street Parking|Utilities Included|Dishwasher|Granite Countertops|Fitness Center
46,42.357049,-71.131717,4,2,2972,4096,Stainless Steel Appliances|Secure Entrance|Granite Countertops|Washer/Dryer|Pool
47,42.376424,-71.062068,2,1,1528,2685,Washer/Dryer|Secure Entrance|Utilities Included|Fitness Center|Pool|Central Air|Stainless Steel Appliances|Granite Countertops|Picnic Area|Off-Street Parking|Dishwasher
48,42.390448,-71.136853,0,1,270,859,Central Air|Pool|Dishwasher|Picnic Area
49,42.410179,-71.08271,0,1,266,908,Washer/Dryer|Off-Street Parking|Pool|Central Air|Secure Entrance|Stainless Steel Appliances
50,42.370766,-71.10935,0,1,643,1029,Picnic Area|Stainless Steel Appliances|Fitness Center|Washer/Dryer|Off-Street Parking
51,42.376475,-71.060771,4,2,2141,4319,Central Air|Picnic Area|Fitness Center|Stainless Steel Appliances|Secure Entrance|Utilities Included
52,42.371412,-71.080853,1,1,1169,1601,Pool|Secure Entrance|Granite Countertops|Stainless Steel Appliances
53,42.406051,-71.090016,3,3,1803,3700,Pool|Utilities Included
54,42.384046,-71.071197,2,2,1525,2958,Dishwasher|Washer/Dryer|Off-Street Parking|Central Air|Picnic Area|Utilities Included|Stainless Steel Appliances|Granite Countertops
55,42.389936,-71.061253,3,1,2265,2826,Granite Countertops|Central Air|Dishwasher|Washer/Dryer|Picnic Area
56,42.371728,-71.131907,2,1,1277,2029,Off-Street Parking|Picnic Area
57,42.405355,-71.069586,2,2,957,2603,Dishwasher|Central Air|Granite Countertops|Picnic Area|Washer/Dryer|Stainless Steel Appliances|Pool|Off-Street Parking|Utilities Included|Fitness Center
58,42.318669,-71.150347,3,3,1321,3859,Stainless Steel Appliances|Central Air|Pool|Picnic Area
59,42.412253,-71.148885,4,2,2073,4047,Picnic Area|Washer/Dryer|Pool|Stainless Steel Appliances
60,42.378945,-71.098951,2,2,1371,3190,Utilities Included|Pool|Secure Entrance|Off-Street Parking|Granite Countertops|Dishwasher|Stainless Steel Appliances|Central Air|Fitness Center|Washer/Dryer|Picnic Area
61,42.373656,-71.069914,2,2,1129,2681,Utilities Included
62,42.397879,-71.126662,2,1,1336,2880,Pool|Fitness Center|Stainless Steel Appliances|Granite Countertops|Off-Street Parking|Picnic Area
63,42.358345,-71.153,1,1,1098,1893,Granite Countertops|Secure Entrance|Picnic Area|Central Air|Stainless Steel Appliances|Washer/Dryer|Utilities Included|Dishwasher|Pool|Fitness Center
64,42.414607,-71.091228,1,1,602,1842,Off-Street Parking|Central Air
65,42.325787,-71.096875,4,2,2485,3955,Pool|Utilities Included|Secure Entrance|Off-Street Parking|Stainless Steel Appliances|Dishwasher
66,42.385304,-71.083379,3,1,2203,3449,Central Air|Off-Street Parking|Fitness Center|Secure Entrance|Washer/Dryer
67,42.385943,-71.073568,0,1,693,1086,Dishwasher|Pool|Off-Street Parking|Picnic Area|Stainless Steel Appliances|Secure Entrance|Granite Countertops|Utilities Included|Central Air
68,42.336515,-71.126305,4,2,3011,3401,Central Air|Stainless Steel Appliances|Granite Countertops
69,42.384244,-71.093351,3,2,1984,3043,Washer/Dryer|Stainless Steel Appliances|Dishwasher|Central Air|Secure Entrance|Picnic Area|Utilities Included|Off-Street Parking|Fitness Center|Granite Countertops|Pool
70,42.364114,-71.09563,2,1,1657,2152,Dishwasher|Washer/Dryer|Off-Street Parking|Fitness Center|Picnic Area
71,42.319543,-71.06379,0,1,420,891,Washer/Dryer|Pool|Dishwasher
72,42.393108,-71.086085,4,2,2078,3412,Utilities Included|Stainless Steel Appliances|Pool|Secure Entrance|Washer/Dryer|Dishwasher|Picnic Area|Fitness Center
73,42.3865,-71.081267,4,3,1714,4398,Granite Countertops|Dishwasher|Utilities Included|Fitness Center|Central Air|Pool
74,42.371769,-71.139063,1,1,919,1385,Washer/Dryer|Fitness Center|Secure Entrance|Picnic Area
75,42.409363,-71.076524,0,1,354,1165,Central Air|Granite Countertops|Washer/Dryer|Off-Street Parking|Fitness Center|Stainless Steel Appliances|Secure Entrance|Utilities Included|Picnic Area|Dishwasher
76,42.404204,-71.095678,2,2,1453,2963,Washer/Dryer|Granite Countertops|Off-Street Parking|Stainless Steel Appliances|Fitness Center|Picnic Area|Dishwasher|Utilities Included
77,42.393756,-71.056746,1,1,1061,1610,Pool|Dishwasher|Utilities Included|Picnic Area|Secure Entrance|Fitness Center|Off-Street Parking|Stainless Steel Appliances|Central Air
78,42.34427,-71.138876,2,1,1676,2860,Off-Street Parking|Stainless Steel Appliances|Washer/Dryer|Secure Entrance|Picnic Area|Central Air|Fitness Center|Pool|Granite Countertops|Dishwasher
79,42.362671,-71.123488,3,1,2147,3470,Picnic Area|Off-Street Parking|Dishwasher|Stainless Steel Appliances|Pool|Secure Entrance|Granite Countertops|Fitness Center|Washer/Dryer
80,42.404745,-71.064423,4,1,2090,3910,Picnic Area|Washer/Dryer|Pool
81,42.413651,-71.085364,1,1,1115,1729,Picnic Area
82,42.344722,-71.119397,1,1,950,1631,Utilities Included|Dishwasher|Secure Entrance
83,42.399028,-71.141484,1,1,854,1955,Dishwasher|Stainless Steel Appliances|Secure Entrance|Picnic Area|Utilities Included|Washer/Dryer|Pool|Granite Countertops
84,42.407432,-71.092166,0,1,693,1134,Pool|Stainless Steel Appliances|Central Air|Granite Countertops|Off-Street Parking|Utilities Included|Secure Entrance|Picnic Area
85,42.375242,-71.061289,0,1,497,968,Granite Countertops|Stainless Steel Appliances
86,42.407686,-71.105002,1,1,950,2003,Picnic Area|Granite Countertops|Dishwasher|Off-Street Parking|Washer/Dryer|Central Air
87,42.403804,-71.12239,0,1,306,1016,Stainless Steel Appliances|Washer/Dryer|Dishwasher|Central Air|Pool
88,42.392263,-71.127043,3,1,1766,3442,Washer/Dryer|Fitness Center|Dishwasher
89,42.377301,-71.145374,4,4,2427,4168,Utilities Included|Off-Street Parking|Washer/Dryer|Central Air|Fitness Center|Pool|Granite Countertops|Stainless Steel Appliances
90,42.391712,-71.075575,0,1,355,891,Secure Entrance|Granite Countertops|Picnic Area|Off-Street Parking
91,42.326656,-71.12059,2,1,1153,2673,Granite Countertops
92,42.335957,-71.145965,4,2,2133,4082,Secure Entrance|Off-Street Parking|Picnic Area|Stainless Steel Appliances|Washer/Dryer|Utilities Included|Dishwasher|Granite Countertops|Pool
93,42.319488,-71.131471,1,1,612,1693,Utilities Included
94,42.402687,-71.106954,2,1,1396,2535,Off-Street Parking|Stainless Steel Appliances|Fitness Center|Granite Countertops
95,42.411865,-71.110767,0,1,690,1034,Utilities Included|Dishwasher|Pool|Washer/Dryer|Fitness Center|Stainless Steel Appliances|Central Air|Granite Countertops|Off-Street Parking|Picnic Area
96,42.382791,-71.128385,4,2,2204,3464,Fitness Center|Dishwasher|Utilities Included
97,42.342568,-71.085696,3,2,1367,2804,Pool
98,42.375735,-71.093357,1,1,853,1741,Granite Countertops|Utilities Included|Secure Entrance|Dishwasher
99,42.392246,-71.14348,1,1,940,1724,Picnic Area|Dishwasher|Secure Entrance|Off-Street Parking|Fitness Center|Pool
100,42.372729,-71.084243,0,1,392,792,Picnic Area
101,42.342137,-71.081602,4,3,2129,3905,Fitness Center|Pool|Utilities Included|Washer/Dryer|Stainless Steel Appliances
102,42.378967,-71.09691,3,1,1855,3626,Picnic Area|Stainless Steel Appliances|Granite Countertops|Off-Street Parking|Dishwasher|Secure Entrance|Central Air|Washer/Dryer
103,42.316735,-71.133449,1,1,943,1730,Off-Street Parking|Utilities Included|Washer/Dryer|Fitness Center|Stainless Steel Appliances|Central Air|Secure Entrance|Dishwasher
104,42.355189,-71.125133,0,1,740,783,Picnic Area|Stainless Steel Appliances
105,42.354595,-71.061937,4,4,2096,4438,Secure Entrance|Fitness Center|Granite Countertops|Dishwasher|Stainless Steel Appliances|Central Air|Off-Street Parking|Washer/Dryer
106,42.353038,-71.067011,0,1,633,1144,Granite Countertops|Fitness Center|Washer/Dryer|Dishwasher|Pool|Stainless Steel Appliances|Utilities Included
107,42.323039,-71.100667,2,1,987,2597,Utilities Included|Granite Countertops|Central Air|Dishwasher|Picnic Area
108,42.366368,-71.080767,2,1,1504,2158,Utilities Included|Secure Entrance|Stainless Steel Appliances|Washer/Dryer
109,42.413445,-71.109711,1,1,713,2130,Central Air|Stainless Steel Appliances|Utilities Included|Washer/Dryer|Fitness Center|Picnic Area|Secure Entrance|Dishwasher|Pool|Off-Street Parking|Granite Countertops
110,42.330302,-71.098455,1,1,987,1750,Secure Entrance|Pool|Off-Street Parking|Stainless Steel Appliances|Fitness Center|Dishwasher|Central Air|Utilities Included
111,42.34789,-71.134698,1,1,1003,2154,Fitness Center|Secure Entrance|Off-Street Parking|Central Air|Picnic Area|Granite Countertops|Stainless Steel Appliances|Dishwasher|Utilities Included|Pool|Washer/Dryer
112,42.331428,-71.074687,1,1,1100,1810,Pool|Fitness Center
113,42.348318,-71.118438,4,3,2263,4146,Picnic Area|Dishwasher|Central Air|Fitness Center|Washer/Dryer|Pool|Off-Street Parking|Granite Countertops|Stainless Steel Appliances
114,42.365074,-71.121506,3,1,1669,3496,Secure Entrance|Picnic Area|Central Air|Off-Street Parking
115,42.400266,-71.123666,1,1,1023,2104,Secure Entrance|Fitness Center|Washer/Dryer|Utilities Included|Off-Street Parking|Picnic Area|Stainless Steel Appliances|Pool
116,42.334794,-71.119195,4,2,2134,3924,Fitness Center|Picnic Area|Utilities Included|Washer/Dryer|Central Air|Pool|Dishwasher|Granite Countertops
117,42.391051,-71.118407,1,1,1101,1515,Washer/Dryer|Dishwasher|Pool|Picnic Area
118,42.352345,-71.136091,0,1,527,1111,Central Air|Dishwasher|Granite Countertops|Washer/Dryer|Utilities Included|Stainless Steel Appliances|Picnic Area|Secure Entrance|Fitness Center
119,42.359658,-71.15281,3,3,1875,4128,Granite Countertops|Washer/Dryer|Picnic Area|Pool
120,42.36121,-71.062828,1,1,1019,1775,Picnic Area|Central Air|Stainless Steel Appliances|Pool|Secure Entrance|Utilities Included|Dishwasher|Granite Countertops|Fitness Center|Washer/Dryer|Off-Street Parking
121,42.369794,-71.099389,3,3,1613,3908,Pool|Fitness Center|Off-Street Parking|Utilities Included|Central Air|Washer/Dryer|Granite Countertops|Dishwasher|Stainless Steel Appliances|Picnic Area
122,42.376326,-71.123637,2,1,1017,2319,Dishwasher|Washer/Dryer|Fitness Center|Utilities Included|Off-Street Parking|Stainless Steel Appliances|Pool
123,42.351392,-71.104283,1,1,837,1785,Utilities Included|Fitness Center|Central Air
124,42.329669,-71.062223,1,1,976,1814,Secure Entrance|Washer/Dryer|Utilities Included|Dishwasher|Granite Countertops|Off-Street Parking|Pool|Central Air|Fitness Center
125,42.338178,-71.130274,2,2,1556,2980,Washer/Dryer|Secure Entrance|Pool|Stainless Steel Appliances|Granite Countertops|Central Air|Dishwasher|Off-Street Parking|Utilities Included|Picnic Area|Fitness Center
126,42.330136,-71.067274,0,1,685,807,Fitness Center
127,42.39991,-71.068997,2,2,1510,3022,Dishwasher|Pool|Picnic Area|Central Air|Granite Countertops
128,42.371379,-71.065181,4,1,2205,4177,Picnic Area|Secure Entrance|Granite Countertops|Central Air|Pool|Off-Street Parking
129,42.371751,-71.098481,1,1,1164,1935,Secure Entrance|Fitness Center|Picnic Area|Off-Street Parking|Dishwasher|Granite Countertops|Stainless Steel Appliances|Utilities Included|Washer/Dryer|Pool
130,42.361742,-71.132831,1,1,666,1807,Utilities Included|Off-Street Parking|Central Air
131,42.32606,-71.058108,1,1,749,1415,Washer/Dryer|Picnic Area|Pool|Stainless Steel Appliances|Secure Entrance|Fitness Center
132,42.41323,-71.070548,3,3,2170,3618,Stainless Steel Appliances|Picnic Area|Central Air|Fitness Center
133,42.334496,-71.080502,0,1,379,896,Central Air|Pool|Granite Countertops|Secure Entrance|Dishwasher|Fitness Center|Picnic Area
134,42.398878,-71.127583,2,1,1500,2565,Pool|Stainless Steel Appliances|Fitness Center|Utilities Included|Picnic Area|Central Air|Dishwasher|Granite Countertops|Off-Street Parking|Secure Entrance
135,42.325137,-71.137169,1,1,791,1644,Central Air|Fitness Center|Granite Countertops|Washer/Dryer|Dishwasher|Utilities Included|Stainless Steel Appliances
136,42.325192,-71.147763,2,2,1674,2874,Off-Street Parking|Dishwasher|Picnic Area|Pool|Central Air|Washer/Dryer|Fitness Center|Granite Countertops|Stainless Steel Appliances|Utilities Included
137,42.401562,-71.147456,0,1,257,1043,Pool|Fitness Center|Utilities Included|Secure Entrance|Dishwasher|Picnic Area|Stainless Steel Appliances|Granite Countertops|Off-Street Parking
138,42.377112,-71.084469,3,2,1389,3356,Washer/Dryer|Dishwasher
139,42.326156,-71.145672,2,1,1276,2451,Fitness Center|Central Air|Washer/Dryer|Pool|Picnic Area|Utilities Included|Dishwasher|Secure Entrance|Stainless Steel Appliances
140,42.38628,-71.102071,3,1,1915,3577,Central Air|Washer/Dryer|Off-Street Parking|Picnic Area|Secure Entrance
141,42.406372,-71.118384,0,1,701,890,Dishwasher|Granite Countertops|Off-Street Parking|Central Air|Fitness Center
142,42.375775,-71.152044,0,1,642,950,Fitness Center|Stainless Steel Appliances|Washer/Dryer|Picnic Area|Central Air
143,42.368026,-71.061635,0,1,687,1191,Washer/Dryer|Off-Street Parking|Stainless Steel Appliances|Utilities Included|Pool|Picnic Area|Fitness Center|Granite Countertops|Secure Entrance
144,42.330261,-71.08277,1,1,805,1657,Washer/Dryer|Dishwasher|Granite Countertops
145,42.32089,-71.070774,2,1,1351,2519,Central Air|Fitness Center|Utilities Included
146,42.405477,-71.087765,2,2,1101,2457,Stainless Steel Appliances|Secure Entrance
147,42.403988,-71.108452,4,2,2597,4321,Stainless Steel Appliances|Pool|Dishwasher|Picnic Area|Central Air|Utilities Included|Secure Entrance|Granite Countertops|Fitness Center
148,42.360222,-71.083895,3,3,1347,4145,Washer/Dryer
149,42.331436,-71.089722,2,1,1792,2409,Central Air
150,42.391841,-71.112617,1,1,1206,1472,Fitness Center|Granite Countertops
151,42.382819,-71.056585,0,1,673,1011,Secure Entrance|Central Air|Off-Street Parking|Fitness Center|Utilities Included|Pool|Stainless Steel Appliances|Granite Countertops
152,42.346829,-71.113441,1,1,937,1585,Pool|Fitness Center|Dishwasher|Secure Entrance|Off-Street Parking|Washer/Dryer|Granite Countertops|Picnic Area|Central Air|Utilities Included|Stainless Steel Appliances
153,42.323282,-71.135981,1,1,837,1763,Fitness Center
154,42.397207,-71.064642,2,2,1574,3102,Utilities Included|Stainless Steel Appliances
155,42.315495,-71.06351,1,1,1323,2129,Fitness Center|Pool|Washer/Dryer|Dishwasher|Off-Street Parking|Granite Countertops|Picnic Area
156,42.314932,-71.146803,3,2,2340,3020,Central Air
157,42.40912,-71.112136,1,1,840,1698,Pool|Secure Entrance|Washer/Dryer|Picnic Area|Granite Countertops
158,42.345241,-71.145218,2,2,1461,2791,Central Air|Stainless Steel Appliances|Picnic Area|Off-Street Parking|Granite Countertops|Washer/Dryer
159,42.324615,-71.101509,2,2,1087,2782,Washer/Dryer|Off-Street Parking
160,42.339648,-71.127149,2,1,1089,2787,Secure Entrance|Picnic Area|Central Air|Pool|Utilities Included|Off-Street Parking
161,42.322407,-71.067989,0,1,727,1055,Dishwasher|Central Air|Pool|Off-Street Parking|Utilities Included|Secure Entrance|Washer/Dryer|Granite Countertops|Stainless Steel Appliances|Picnic Area|Fitness Center
162,42.399823,-71.125747,1,1,655,1903,Granite Countertops
163,42.391505,-71.119219,0,1,548,1119,Utilities Included|Picnic Area|Granite Countertops|Dishwasher|Off-Street Parking|Stainless Steel Appliances|Fitness Center|Washer/Dryer
164,42.346599,-71.083677,3,2,1839,3514,Off-Street Parking|Utilities Included|Washer/Dryer|Dishwasher|Fitness Center|Picnic Area|Granite Countertops
165,42.387173,-71.054256,3,2,2028,3503,Secure Entrance|Dishwasher|Utilities Included|Picnic Area|Stainless Steel Appliances
166,42.39983,-71.142279,1,1,767,1794,Dishwasher|Secure Entrance
167,42.403467,-71.144698,3,3,1699,3941,Stainless Steel Appliances|Picnic Area
168,42.327312,-71.077605,3,2,1688,3343,Off-Street Parking|Pool|Dishwasher|Picnic Area|Secure Entrance
169,42.40205,-71.144443,4,1,2542,4323,Stainless Steel Appliances|Washer/Dryer|Central Air|Utilities Included|Picnic Area|Dishwasher|Fitness Center|Secure Entrance|Off-Street Parking|Granite Countertops|Pool
170,42.38562,-71.144064,1,1,1325,1632,Secure Entrance|Granite Countertops|Off-Street Parking|Pool|Fitness Center
171,42.326185,-71.140912,2,1,1605,2760,Utilities Included|Granite Countertops|Off-Street Parking|Central Air|Fitness Center
172,42.343033,-71.053544,3,2,2235,2888,Utilities Included
173,42.364268,-71.091363,2,2,1274,2647,Central Air|Dishwasher|Secure Entrance|Off-Street Parking|Picnic Area|Washer/Dryer
174,42.379103,-71.127264,3,2,2099,3142,Secure Entrance|Off-Street Parking|Granite Countertops|Washer/Dryer|Stainless Steel Appliances|Dishwasher|Fitness Center|Picnic Area
175,42.325917,-71.07671,4,4,2235,4354,Fitness Center|Secure Entrance|Pool|Washer/Dryer|Off-Street Parking|Dishwasher|Stainless Steel Appliances
176,42.397797,-71.07838,0,1,519,1056,Secure Entrance|Fitness Center|Granite Countertops|Off-Street Parking|Stainless Steel Appliances|Picnic Area|Central Air|Pool|Dishwasher
177,42.402322,-71.147822,0,1,447,1073,Dishwasher|Granite Countertops|Off-Street Parking|Secure Entrance|Central Air|Utilities Included|Stainless Steel Appliances
178,42.384549,-71.094357,4,1,2585,4373,Stainless Steel Appliances|Off-Street Parking|Utilities Included|Pool|Granite Countertops
179,42.397553,-71.073611,4,3,2344,4520,Utilities Included|Washer/Dryer|Granite Countertops
180,42.352527,-71.137837,3,1,1759,2890,Granite Countertops|Central Air|Dishwasher|Stainless Steel Appliances|Secure Entrance|Utilities Included
181,42.328803,-71.089892,4,1,2401,3939,Stainless Steel Appliances|Pool
182,42.366928,-71.148683,0,1,335,1007,Dishwasher|Pool|Washer/Dryer|Secure Entrance|Off-Street Parking|Granite Countertops|Utilities Included
183,42.406452,-71.075868,1,1,939,1676,Dishwasher|Stainless Steel Appliances|Pool|Granite Countertops|Utilities Included|Washer/Dryer
184,42.352702,-71.101535,1,1,960,1592,Granite Countertops|Central Air
185,42.34723,-71.128025,0,1,434,1106,Secure Entrance|Utilities Included|Off-Street Parking
186,42.378168,-71.145011,2,2,1792,3096,Utilities Included|Dishwasher|Central Air|Picnic Area|Washer/Dryer
187,42.357478,-71.10611,2,1,1437,2202,Utilities Included
188,42.326044,-71.137653,4,1,2140,4215,Dishwasher|Secure Entrance|Picnic Area|Pool|Washer/Dryer|Granite Countertops|Utilities Included
189,42.338995,-71.14257,0,1,435,814,Washer/Dryer|Central Air
190,42.392386,-71.084626,3,1,1780,3035,Granite Countertops
191,42.322719,-71.103123,0,1,688,1075,Central Air|Secure Entrance|Off-Street Parking
192,42.341523,-71.05814,4,3,2525,4184,Secure Entrance|Picnic Area|Granite Countertops|Fitness Center|Off-Street Parking|Utilities Included|Washer/Dryer|Dishwasher|Central Air|Stainless Steel Appliances
193,42.317641,-71.137775,0,1,647,1082,Dishwasher|Pool|Secure Entrance|Fitness Center|Central Air|Picnic Area|Utilities Included|Granite Countertops|Stainless Steel Appliances
194,42.355679,-71.1253,0,1,337,1095,Washer/Dryer|Off-Street Parking|Dishwasher|Utilities Included|Picnic Area|Stainless Steel Appliances|Pool|Secure Entrance|Central Air|Granite Countertops|Fitness Center
195,42.381273,-71.058441,0,1,581,1142,Off-Street Parking|Washer/Dryer|Picnic Area|Stainless Steel Appliances|Pool|Fitness Center
196,42.414519,-71.092379,2,1,1364,2254,Granite Countertops|Central Air|Pool|Secure Entrance
197,42.354661,-71.083831,0,1,739,1035,Utilities Included|Central Air|Secure Entrance|Granite Countertops|Picnic Area|Stainless Steel Appliances|Fitness Center
198,42.346894,-71.103856,4,1,2344,4033,Fitness Center|Utilities Included|Off-Street Parking
199,42.357682,-71.07466,1,1,874,1657,Off-Street Parking|Dishwasher|Stainless Steel Appliances|Washer/Dryer|Granite Countertops|Pool
200,42.36518,-71.094299,4,4,2330,4296,Fitness Center|Granite Countertops|Central Air|Secure Entrance|Picnic Area
201,42.336121,-71.123215,3,1,2041,3174,Granite Countertops|Off-Street Parking|Picnic Area
202,42.34171,-71.129576,1,1,950,1545,Central Air|Secure Entrance|Dishwasher|Fitness Center|Stainless Steel Appliances|Granite Countertops|Pool
203,42.376059,-71.077945,1,1,1006,1530,Fitness Center|Stainless Steel Appliances|Off-Street Parking|Secure Entrance
204,42.34532,-71.063493,2,2,998,2959,Fitness Center|Granite Countertops|Stainless Steel Appliances|Utilities Included|Pool|Secure Entrance
205,42.398143,-71.109527,3,1,2156,3824,Secure Entrance|Fitness Center|Washer/Dryer|Stainless Steel Appliances|Central Air|Picnic Area|Off-Street Parking|Pool|Dishwasher|Utilities Included
206,42.379185,-71.05778,2,1,1227,2304,Stainless Steel Appliances
207,42.349048,-71.066001,3,1,1747,3360,Stainless Steel Appliances|Granite Countertops|Picnic Area|Dishwasher|Washer/Dryer|Secure Entrance|Pool|Off-Street Parking|Fitness Center|Utilities Included|Central Air
208,42.385748,-71.080996,0,1,707,910,Central Air|Pool|Dishwasher
209,42.340184,-71.129603,0,1,304,948,Granite Countertops
210,42.337418,-71.118546,4,4,2081,4445,Washer/Dryer|Pool|Stainless Steel Appliances|Fitness Center|Dishwasher|Central Air|Off-Street Parking|Granite Countertops|Secure Entrance|Utilities Included
211,42.321147,-71.098301,1,1,1224,1812,Fitness Center|Pool|Washer/Dryer|Picnic Area|Granite Countertops|Off-Street Parking|Dishwasher
