,affilID,affiliation
48,49,"Universitat Polit cnica de Catalunya  UPC , c  Jordi Girona 1 3, Barcelona E 08034, Spain"
49,50,"IBM Software Group, Raleigh, NC, United States  2  University of York, Heslington, York, United Kingdom"
50,51,"Divisi n de Sistemas e Ingenier a Electr nica  DSIE , Universidad Polit cnica de Cartagena, 30202 Cartagena, Spain"
51,52,"INFOLAB, Tilburg University, Dept  of Information Systems and Management, Tilburg, LE 5000, Netherlands"
52,53,"University of St Andrews, St Andrews, KY16 9SX, United Kingdom  2  University of South Brittany   Valoria, BP 573, 56017 Vannes Cedex, France  3  University of Manchester, Manchester, M13 9PL, United Kingdom"
53,54,"Department of Information Systems and Computation, Technical University of Valencia, Camino de Vera s n, E 46022 Valencia"
54,55,"Department of Information Systems and Computation, Polytechnic University of Valencia, Camino de Vera s n, 46022 Valencia, Spain  2  Technical University of Madrid  UPM , E U  Inform tica, Ctra  Valencia km 7, 28051 Madrid, Spain"
55,56,"Department of Computational and Cognitive Sciences   CoCoS, Faculty of Engineering, University Duisburg Essen, Germany"
56,57,"Department of Computer Science, Technische Universit t Dresden, Dresden, Germany  2  SAP Research CEC Dresden, SAP AG, Dresden, Germany"
57,58,"Computer Languages and Systems II Department, Rey Juan Carlos University, Mostoles, Spain"
58,59,"Lab  Ecologie Halieutique, Agrocampus Rennes, CS 4215, 65 rue de St  Brieuc, Rennes Cedex 35042, France"
59,60,"Facult  de Droit, de Sciences  conomiques et de Gestion, CARE, University of Rouen, 3, avenue Pasteur, Rouen Cedex 1 76186, France"
60,61,"IFREMER Laboratoire, DYNECO PHYSED Centre de Brest, BP 70, Plouzane 29280, France  2  Laboratoire de Morphodynamique Continentale et C ti re, Universit  de Caen, Caen, France  3  Creocean, Zone Technocean, La Rochelle, France"
61,62,"CEMAGREF   Groupement de Bordeaux, Unit  Ecosyst mes Estuariens et Poissons Migrateurs Amphihalins, 50 Avenue de Verdun, Cestas 33612, France  2  IFREMER   Centre de Nantes, D partement EMH  Ecologie et Mod les Pour l Halieutique , Rue de l Ile d Yeu, Nantes Cedex 3 44311, France"
62,63,"Zoology Department, Trinity College Dublin, Dublin 2, Ireland"
63,64,"UMR Sisyphe 7619, UMPC Paris 6, Tour 56, Boite 105, Etage 4, 4 place Jussieu, Paris 75005, France  2  LTHE  UMR CNRS 5564, UJF, INPG, IRD , BP 53, Grenoble Cedex 09 38 041, France"
64,65,"School of the Environment, University of Brighton, Lewes Road, Brighton BN2 4GJ, United Kingdom  2  CNRS Universit  de Rouen, Mont Saint Aignan Cedex 76821, France  3  University of Sussex, Falmer, Brighton BN1 9QJ, United Kingdom  4  University of Greenwich  Medway Campus , Chatham Maritime, Kent ME4 4TB, United Kingdom  5  Queen Mary University of London, Mile End Road, London E1 4NS, United Kingdom  6  Universite de Sciences et Technologies de Lille, Villeneuve d Ascq, France"
65,66,"IFREMER BE CM Centre de Toulon, Zone Portuaire de Bregaillon, BP 330, 83507 La Seyne sur Mer Cedex, France  2  IFREMER BE CM Centre de Nantes, Nantes Cedex, France  3  IFREMER DYNECO PHYSED Centre de Brest, Plouzane, France"
66,67,"Zoology Department, Trinity College, Dublin 2, Ireland  2  Laboratoire d Hydrobiologie, Universit  P and M Curie Paris VI, Paris, France"
67,68,"Station Marine de Wimereux, CNRS FRE, 28163 ELICO, BP 80, Wimereux 62930, France  2  Ifremer, Laboratoire Environnement et Ressources, 2 bis Rue Grout Saint Georges, Saint Malo 35400, France  3  Laboratoire de Morphodynamique Continentale et C ti re, UMR 6143, Universit  de Rouen, 10 Boulevard De Broglie, Mont Saint Aignan Cedex 76821, France  4  Laboratoire de Ressources Halieutiques, Institut Universitaire Europ en de la Mer, Place Nicolas Copernic, Plouzane 29280, France  5  Universit  du Littoral C te d Opale, CNRS UMR, 8013 ELICO, Avenue Foch, Wimereux 62930, France"
68,69,"D partement de G ologie et Oc anographie, UMR CNRS 5805 EPOC, Universit  Bordeaux 1, Avenue des Facult s, 33405 Talence Cedex, France  2  Laboratoire Sisyphe, UMR 7619, Universit  Pierre et Marie Curie Paris VI, Boite 123, 4 place Jussieu, Paris Cedex 05 75252, France  3  Ecologie des Syst mes Aquatiques, Universit  Libre de Bruxelles, Bd du Triomphe, Bruxelles 1050, Belgium  4  Laboratoire de G ologie des Environnements Aquatiques Continentaux, Universit  de Tours, Parc de Grandmont, Tours 37200, France"
69,70,"D partement de G ologie, UMR CNRS 6143, Universit  de Rouen, 10 Boulevard de Broglie, Mont Saint Aignan Cedex 76821, France  2  Environment Canada, Meteorological Service of Canada, Air Quality Processes Research Division, 4905 Dufferin Street, Downsview, Ont  M3H 5T4, Canada  3  Laboratoire Hydrologie et Environnement, UMR Sisyphe 7619 CNRS, Universit  Pierre et Marie Curie, case 123, 4 place Jussieu, Paris Cedex 5 75252, France"
70,71,"CNR ISMAR, Castello, 1364, Venezia 30122, Italy"
71,72,"School of the Environment, University of Brighton, Lewes Road, Brighton BN2 4GJ, United Kingdom"
72,73,"Laboratoire d Ecotoxicologie   Milieux Aquatiques  UPRES EA 3222, IFRMP23, GDR IFREMER , University of Le Havre, Le Havre Cedex 76058, France"
73,74,"Res Inst  of Tsinghua Univ , Shenzhen, China"
74,75,"Research Institute of Tsinghua University in Shenzhen, Shenzhen High Tech Industrial Park, Shenzhen, 518057, China  2  Department of Chemical and Biomolecular Engineering, National University of Singapore, 10 Kent Ridge Crescent, Singapore 119260, Singapore  3  State Key Laboratory of Optoelectronic Materials and Technologies, School of Physics and Engineering, Sun Yat Sen University, 135 Xingang Road, Guangzhou, Guangdong 510275, China"
75,76,"Department of Chemical and Environmental Engineering, College of Engineering, University of California, Riverside, CA 92521"
76,77,"Department of Chemical and Environmental Engineering, Bourns College of Engineering, University of California, Riverside, Riverside, CA 92521, United States"
77,78,"Sch  of Eng , Inf    Commun  Univ , Daejeon, Korea, Republic of"
78,79,"School of Engineering, Information and Communications University, 119, Munjiro, Yuseong gu, Daejeon, 305 732, Korea, Republic of"
79,80,"Department of Chemical and Environmental Engineering, College of Engineering, University of California, Riverside, CA 92521  2  Division of Chemistry and Biological Chemistry, Nanyang Technological University, Singapore 637722, Singapore  3  Division of Chemical and Biomolecular Engineering, Nanyang Technological University, Singapore 637722, Singapore"
80,81,"Fac  de Cienc  de la Comput , Benemerita Univ  Autonoma de Puebla, Puebla, Mexico"
81,82,"Univ  of Savoie, Annecy Le Vieux, France"
82,83,"Inst  of Autom  Control   Comput  Eng , Warsaw Univ  of Technol , Warsaw, Poland"
83,84,"Div  of Electron  Eng    Syst   DSIE , Univ  Politec  de Cartagena, Cartagena, Spain"
84,85,"Dept  of Comput  Sci , Univ  of Extremadura, Caceres, Spain"
85,86,"Dept  of Comput    Cognitive Sci , Univ  Duisburg Essen, Essen, Germany"
86,87,"Dipt  Lenguajes y Cienc  de la Comput , Univ  of Malaga, Malaga, Spain"
87,88,"Sch  of Comput , Dublin City Univ , Dublin, Ireland"
88,89,"Univ  of St Andrews, St  Andrews, United Kingdom"
89,90,"Dept  of Comput  Sci , Univ  Rey Juan Carlos, Madrid, Spain"
90,91,"Dept  of Comput  Sci  Tech , Univ  Dresden, Dresden, Germany"
91,92,"Res  Unit ReDCAD, Univ  of Sfax, Sfax, Tunisia"
92,93,"Alma Mater Studiorum Univ  di Bologna, Bologna, Italy"
93,94,"Dept  of Ind  Electron , Univ  of Minho, Guimaraes, Portugal"
94,95,"Univ  Politec  de Catalunya  UPC , Barcelona, Spain"
95,96,"Kybele, Dept  Comp  Lang  and Syst  II, Rey Juan Carlos University, M stoles 28933 Madrid, Spain"
96,97,"Department of Chemical and Biomolecular Engineering, University of Houston, Houston, TX 77204  2  Institut fuer Chemie, Technische Universitaet Berlin, 10623 Berlin, Germany"
97,98,"Inf  Security   Nat  Comput  Grid Lab   IS NC , Southwest Jiaotong Univ , Chengdu, China  2  Inf  Security Center, Beijing Univ  of Post   Telecommun , Beijing, China"
98,99,"Energy and Environmental Technology Applications Center  E2TAC , College of Nanoscale Science and Engineering  CNSE , University at Albany, 255 Fuller Road, Albany, NY 12203, United States"
99,100,"Department of Chemical and Biomolecular Engineering, University of Houston, Houston, TX 77204  2  Institut fuer Chemie, Technische Universitaet Berlin, 10624 Berlin, Germany"
100,101,"Univ  of Mannheim, Mannheim, Germany"
101,102,"Univ  of Texas at Austin, Austin, TX, United States"
102,103,"Kybele Research Group, Rey Juan Carlos University, Mostoles   Madrid 28933, Spain  2  VALORIA Laboratory, University of South Brittany, Tohannic Campus, Vannes 56017, France"
103,104,"Department of Mathematics and Computer Science, University of Groningen, Netherlands"
104,105,"Capgemini, Global Financial Services   Architecture and Governance Improvement, Papendorpseweg 100, 3528 BJ Utrecht, Netherlands  2  VU University, Department of Computer Science, De Boelelaan 1081a, 1081 HV Amsterdam, Netherlands"
105,106,"Centro ISYS, Escuela de Computaci n, Universidad Central de Venezuela, Apdo  47567, Los Chaguaramos 1041 A, Caracas, Venezuela"
106,107,"Faculty of Computer Science, University of New Brunswick, Fredericton, Canada"
107,108,"Institute of Informatics, PUC Minas, Brazil"
108,109,"Computer Science School, Technical University of Madrid"
109,110,"ISSI, Dept  of Information Systems and Computation, Universidad Polit cnica de Valencia, Camino de Vera s n, 46022 Valencia, Spain  2  Escuela Universitaria de Inform tica, Technical University of Madrid  UPM , Ctra  Valencia km  7, 28051 Madrid, Spain"
110,111,"Institute of Computing, State University of Campinas  Unicamp   2  Computing Laboratory, University of Kent"
111,112,"International Graduate School of Dynamic Intelligent Systems, Warburger Strae 100, 33098 Paderborn, Germany  2  Dept  of Computer Science, Warburger Strae 100, 33098 Paderborn, Germany  3  University of Paderborn, Warburger Strae 100, 33098 Paderborn, Germany"
112,113,"Kaunas University of Technology, Studentu 50, LT 51368, Kaunas, Lithuania"
113,114,University of British Columbia
114,115,"Federal University of Rio Grande do Norte  UFRN , Natal, RN, Brazil  2  National Laboratory for Scientific Computing  LNCC , Petr polis, RJ, Brazil  3  Lancaster University, Lancaster, United Kingdom  4  Federal University of Bahia  UFBA , Salvador, BA, Brazil"
115,116,"Dpto  Lenguajes y Ciencias de la Computaci n, University of M laga, Spain  2  DIMAp, Federal University, Rio Grande do Norte, Brazil"
116,117,"Swinburne University of Technology, Melbourne, Australia  2  VU University, Amsterdam, Netherlands"
117,118,"Software Engineering Institute, Carnegie Mellon University, Pittsburgh, PA, United States  2  ISISTAN Research Institute, UNICEN University, Tandil, Buenos Aires, Argentina"
118,119,"Nokia Research Center, Helsinki University of Technology"
119,120,"NSWC, NAVSEA Dam Neck  2  Old Dominion University, United States"
120,121,"Computing Department, Lancaster University, United Kingdom  2  Sofware Engineering Group, University of Twente, Netherlands  3  Opus Research Group, Informatics Department, PUC Rio, Brazil  4  Informatics Department, Universidade Nova de Lisboa, Portugal  5  Computer Science Department, University of Rio Grande do Norte, Brazil"
121,122,"Computer Science Department, University of Southern California, Los Angeles, CA 90089, United States  2  Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA 91109, United States"
122,123,"Institute for Software Research, University of California, Irvine, Irvine, CA 92697 3455, United States  2  Computer Science Department, University of Southern California, Los Angeles, CA 90089 0781, United States  3  Launch21"
123,124,"DSCI, Inc"
124,125,"Department of Computer Engineering and IT, Sheikh Bahaei University, Iran  2  Department of Mathematics and Computing Science, University of Groningen, Netherlands  3  Department of Computer Engineering, Faculty of Engineering, University of Isfahan, Iran"
125,126,"Software Engineering Institute, United States  2  DSC  3  Consulting software systems architect"
126,127,"FBK IRST, Trento, Italy, via Sommarive 18, 38050 Trento, Italy  2  Dipartimento di Informatica, Universit  Dell Aquila, L Aquila, Italy  3  Department of Software Engineering and Theoretical Computer Science, Technical University, Berlin, Germany"
127,128,"Universidad Rey Juan Carlos, Madrid, Spain"
128,129,"SAP Research, Bleichstr  8, 64283 Darmstadt, Germany  2  SAP AG, Dietmar Hopp Allee 16, 69190 Walldorf, Germany  3  Fraunhofer FOKUS, Kaiserin Augusta Allee 31, 10589 Berlin, Germany"
129,130,"Lero, University of Limerick, Ireland"
130,131,"Space based Computing Group, Vienna University of Technology, Favoritenstr  9 11, 1040 Vienna, Austria  2  Telecommunications Research Centre Vienna  FTW , Donau City 1, 1210 Vienna, Austria"
131,132,"LISTIC Lab Annecy, University of Savoie, France  2  INRIA Lille Nord Europe, RmoD Team, LIFL Lille, France"
132,133,"School of Innovation, Design and Engineering, M lardalen University, SE 721 23 V ster s, Sweden  2  Dept  94100 HC1S, Volvo Car Corporation, SE 405 31 G teborg, Sweden"
133,134,"Software Engineering Group, University of Twente, Enschede, Netherlands"
134,135,"Computing Department, Lancaster University, United Kingdom"
135,136,"CNRS, LAAS, 7 avenue du colonel Roche, F 31077 Toulouse, France  2  UPS, INSA, INP, ISAE, LAAS, Universit  de Toulouse, F 31077 Toulouse, France  3  Enis, Redcad, Route de la Soukra, Sfax, Tunisia"
136,137,Barclays Global Investors
137,138,"NICTA, Canberra Research Laboratory, RSISE, Canberra, Australia"
138,139,"Informatics and Mathematical Modelling, Technical University of Denmark, 2800 Kgs  Lyngby, Denmark"
139,140,"Aarhus University, Department of Computer Science, 8200 Aarhus, Denmark  2  University of Iceland, Dunhaga 7, 107 Reykjavik, Ireland"
140,141,"Software Engineering Institute, Carnegie Mellon University, Pittsburgh, PA 15213, United States"
141,142,"Department of Computer Science, VU University, Amsterdam, Netherlands"
142,143,"University of Campinas, Brazil  2  Federal University of Alagoas, Brazil  3  University of Coimbra, Portugal"
143,144,"Department of Mathematics and Computing Science, University of Groningen  2  Philips Research and Embedded Systems Institute, Netherlands"
144,145,"Department of Computer Science, Drexel University, Philadelphia, PA, United States  2  Informatics Department, Pontifical Catholic University, Rio de Janeiro, Brazil  3  Computer Science Department, Federal University of Bahia, Salvador, Brazil"
145,146,"CS Department, Universidad de Chile, Santiago, Chile  2  Dept  Ingenier a Inform tica, Univ  Cat lica de la Sant sima Concepci n, Concepci n, Chile"
146,147,"Department of Computer Science, VU University, Amsterdam, Netherlands  2  Center for Advanced Media Research Amsterdam, VU University, Amsterdam, Netherlands"
147,148,"Department of Metallurgy and Ceramics Science, Tokyo Institute of Technology, 2 12 1 Ookayama, Tokyo 152 8552, Japan"
148,149,"Department of Chemical and Biomolecular Engineering, University of Houston, Houston, TX 77204, United States  2  Institut fuer Chemie, Technische Universitaet Berlin, 10623 Berlin, Germany"
149,150,"Department of Mechanical Engineering, Dong A University, Busan, 604 714, Korea, Republic of  2  Department of Mechanical Engineering, Chung Ang University, Seoul, 156 756, Korea, Republic of"
150,151,"Los Alamos National Laboratory, Materials Physics and Applications, MPA 11, Los Alamos, NM 87545, United States"
151,152,"Dalian Inst  of Chem  Phys , Chinese Acad  of Sci , Dalian, China"
152,153,"Department of Hydrogen and Clean Fossil Fuels, Energy research Centre of the Netherlands ECN, P O  Box 1, 1755 ZG Petten, Netherlands  2  European Commission, Joint Research Centre, Institute for Energy, P O  Box 2, 1755 ZG Petten, Netherlands"
153,154,"Research Center for Carbon Recycling and Energy, Tokyo Institute of Technology, Tokyo, 152 8552, Japan"
154,155,"Radiation Laboratory, Departments of Chemistry and Biochemistry and Chemical and Biomolecular Engineering, University of Notre Dame, Notre Dame, IN 46556 0579"
155,156,"School of Chemical Engineering and the Environment, Beijing Institute of Technology, Beijing 100081, China  2  National Development Center for High Technology Green Materials, Beijing 100081, China"
156,157,"Department of Materials Science and Engineering, Feng Chia University, Taichung, Taiwan  2  Department of Biological Science and Technology, China Medical University, Taichung, Taiwan"
157,158,"School of Chemistry, Sackler Faculty of Exact Sciences, Tel Aviv University, Ramat Aviv, Tel Aviv, 69978, Israel  2  Wolfson Applied Materials Research Center, Tel Aviv University, Tel Aviv, 69978, Israel"
158,159,"School of Industrial Eng , Eindhoven Univ  of Technology  2  ArchiXL"
159,160,"Dept  of Computer Science, Leipzig University, Applied Telematics e Business Group, Leipzig, Germany"
160,161,"LIUPPA, Univ  de Pau et des Pays de l Adour, Bayonne, France  2  LIFIA, Facultad de Inform tica  UNLP , La Plata, Argentina  3  LIRMM, CNRS and Montpellier II University  4  LGI2P, Ecole des Mines d Al s, Nimes, France"
161,162,"Department of Computer Science, VU University Amsterdam, Netherlands  2  Institute for Mathematics and Computer Science, University of Groningen, Netherlands"
162,163,"Carnegie Mellon University, Pittsburgh, PA 15213, United States"
163,164,"DistriNet Labs, Katholieke Universiteit Leuven, Belgium"
164,165,"Universit  Degli Studi Dell Aquila, via Vetoio, I 67100 L Aquila, Italy  2  INRIA, Rocquencourt Domaine De Voluceau, 78153 Le Chesnay, France"
165,166,"INGAR CIDISI, UTN, Santa Fe, Argentina  2  INGAR CIDISI, UTN CONICET, Santa Fe, Argentina"
166,167,"Dept  of Computer Systems, University of S o Paulo, ICMC USP, S o Carlos, SP, Brazil"
167,168,"Universidad Polit cnica de Madrid, E U  Inform tica, Spain  2  DSIC, Universidad Polit cnica de Valencia, Spain"
168,169,"NICTA, Australian Technology Park, Eveleigh, Australia  2  School of Computer Science and Engineering, University of New South Wales, Australia"
169,170,"Electric and Electronic Systems Engineering, Volvo Car Corporation, G teborg, Sweden  2  Software Engineering and Management, IT University of G teborg, G teborg, Sweden"
170,171,Pennsylvania State University
171,172,"C  Doppler Laboratory Embedded Software Systems, University of Salzburg, Jakob Haringer Strabe 2, 5020 Salzburg, Austria"
172,173,"Fraunhofer Institute for Experimental Software Engineering, Fraunhofer Platz 1, 67663 Kaiserslautern, Germany"
173,174,"Computing Systems Department, University of Castilla La Mancha  2  Department of Computing Languages and Systems II, Rey Juan Carlos University  3  Department of Electrical and Computer Engineering, University of Texas, Austin, United States"
174,175,"Dipartimento di Informatica Sistemistica e Comunicazione, Universit  degli Studi di Milano Bicocca, Milan, Italy"
175,176,"Istituto di Scienze e Tecnologie Dell Informazione, Universit  di Urbino Carlo Bo, Italy"
176,177,"School of Computer Science, University of Birmingham, Birmingham B15 2TT, United Kingdom"
177,178,"VTT Technical Research Centre of Finland, Finland"
178,179,"NICTA, Australian Technology Park, NSW 2015, Australia  2  School of Computer Science and Engineering, University of New South Wales, Australia"
179,180,"Katholieke Universiteit, Leuven, Belgium  2  Universidad Rey Juan Carlos, Madrid, Spain"
180,181,"Honeywell International Sarl, Z A  La Piece 16, CH 1180 Rolle, Switzerland  2  ABB Schweiz AG, Corporate Research, Segelhofstr  1K, 5405, Baden 5 D ttwil, Switzerland"
181,182,"LIFC Lab  of Comput  Eng , Franche Comte Univ , Besancon, France  2  Fac  of Eng  Sci , Tlemcen Univ , Tlemcen, Algeria"
182,183,"Dept  of Chem , Tech  Univ  Berlin, Berlin, Germany"
183,184,"Intuit, Mountain View, CA, United States"
184,185,"VTT Technical Research Centre of Finland, Kaitov yl  1, 90570, Oulu, Finland  2  University of Milano Bicocca, Edificio U14, Viale Sarca, 336, 20126, Milan, Italy"
185,186,"Department of Chemistry, Simon Fraser University, 8888 University Drive, Burnaby, BC, Canada  2  Automotive Fuel Cell Cooperation Corporation, 9000 Glenlyon Parkway, Burnaby, BC, Canada"
186,187,"Advanced Technology Centre  ATEC , Gunma University, 1 5 1 Tenjin, Kiryu, Gunma, 375 8515, Japan  2  Department of Chemical and Environmental Engineering, Gunma University, 1 5 1 Tenjin, Kiryu, Gunma, 375 8515, Japan"
187,188,"Department of Chemical Engineering, Pohang University of Science and Technology, Kyungbuk 790 784, Korea, Republic of  2  Advanced Chemical Technology Division, Korea Research Institute of Chemical Technology  KRICT , Daejeon 305 600, Korea, Republic of"
188,189,"State Key Laboratory of Gansu Advanced Non ferrous Metal Materials, Lanzhou University of Technology, 287 Langongping Road, Lanzhou 730050, China  2  School of Materials Science and Engineering, Lanzhou University of Technology, Lanzhou 730050, China"
189,190,"Faculty of Engineering, North West University, Potchefstroom, South Africa  2  Faculty of Educational Sciences, North West University, Potchefstroom, South Africa"
190,191,"Alternative Energy and Nanotechnology Laboratory, Nano Functional Materials Technology Center, Department of Physics, Madras, Chennai 600 036, India  2  Centre for Fuel Cell Technology, International Advanced Research Centre for Powder Metallurgy and New Materials, Chennai 600 113, India"
191,192,"Department of Mechanical Engineering, Purdue School of Engineering and Technology, Indiana University Purdue University, Indianapolis, IN 46202, United States  2  School of Materials Engineering, Birck Nanotechnology Center, Purdue University, West Lafayette, IN 47907, United States  3  Department of Chemical and Nuclear Engineering, University of New Mexico, Albuquerque, NM 87131, United States"
192,193,"College of Chemistry and Chemical Engineering, South China University of Technology, Guangzhou 510640, China  2  Key Laboratory for Organ Failure Research, Education Ministry of People s Republic of China, Southern Medical University, Guangzhou 510515, China"
193,194,"Department of Chemical and Biomolecular Engineering, Specialized Graduate School of Hydrogen and Fuel Cell, Yonsei University, Seoul 120 749, Korea, Republic of  2  School of Mechanical Engineering, Pusan National University, Busan 609 735, Korea, Republic of"
194,195,"Department of Polymer Science and Engineering, Inha University, 253 Yonghyun Dong, Nam Gu, Incheon, 402 751, Korea, Republic of"
195,196,"Dept  of Mech  Eng , Univ  of Botswana, Gaborone, Botswana"
196,197,"Department of Physics and Atmospheric Science, Dalhousie University, Halifax, NS B3H 3J5, Canada  2  3M Center, 3M Fuel Cell Components Program, St  Paul, MI 55144, United States"
197,198,"Applied Electrochemistry, School of Chemistry and Chemical Engineering, KTH, SE 100 44 Stockholm, Sweden  2  Competence Centre for Catalysis, Department of Applied Physics, Chalmers University of Technology, SE 412 96 G teborg, Sweden"
198,199,"Laboratori d Electroqu mica dels Materials i del Medi Ambient, Departament de Qu mica F sica, Universitat de Barcelona, Mart  i Franqu s 1 11, 08028 Barcelona, Spain"
199,200,"Department of Computer Science, University of Texas at Dallas, Richardson, TX 75083, United States  2  T J  Watson Research Center, IBM, 19 Skyline Drive, Hawthorne, NY 10532, United States"
200,201,"Department of Chemical Engineering, University of South Carolina, Columbia, SC 29208, United States"
201,202,"Key Laboratory of Eco Environment Related Polymer Materials, Ministry of Education, China  2  Key Laboratory of Gansu Polymer Materials, College of Chemistry and Chemical Engineering, Northwest Normal University, Anning East Road 967, Lanzhou, Gansu 730070, China"
202,203,"Catalysis Research Center, Hokkaido University, Sapporo 001 0021, Japan  2  Chemistry Department, Faculty of Science, Universiti Putra Malaysia, 43400 Serdang, Selangor, Malaysia"
203,204,"EnerFuel, Inc , West Palm Beach, FL 33407, United States"
