,paperID,abstract,title,terms,authors,affiliation,pubYear,confName
10,11,"A common approach to defining architectural views is to have independent heterogeneous representations that are tailored to each view s purpose, but this makes reconciling views into an overall architectural description harder  In this paper we put forward a complementary  not alternative  approach in which some views are derived from a given architecture description language  ADL  in a systematic way, by listing the design questions each view should answer  The approach is based on constructing the language s metamodel and extending it with the entities and associations needed to capture and explicitly relate the required views    2007 IEEE   23 refs",A model driven approach to extract views from an architecture description language,"['Computer hardware description languages', 'Data acquisition', 'Mathematical models', 'Metadata', 'Problem solving', 'Architectural description', 'Architecture description language (ADL)', 'Metamodels', 'Computer Programming', 'Computer Programming Languages', 'Data Processing and Image Processing', 'Artificial Intelligence', 'Computer Applications', 'Mathematics']","['Oliveira, Crist v o', '', '', 'Wermelinger, Michel']","Department of Computer Science, University of Leicester, University Road, Leicester LE1 7RH, United Kingdom  2  Computing Department, Open University, Walton Hall, Milton Keynes MK7 6AA, United Kingdom",2007,WICSA
11,12,"A common approach to defining architectural views is to have independent heterogeneous representations that are tailored to each view s purpose, but this makes reconciling views into an overall architectural description harder  In this paper we put forward a complementary  not alternative  approach in which some views are derived from a given architecture description language  ADL  in a systematic way, by listing the design questions each view should answer  The approach is based on constructing the language s metamodel and extending it with the entities and associations needed to capture and explicitly relate the required views   23 refs",A model driven approach to extract views from an architecture description language,"['high level languages', 'software architecture', 'model-driven approach', 'architecture description language', 'independent heterogeneous representations', 'metamodel', 'Software engineering techniques', 'High level languages']","['Oliveira, C', '', '', ' Wermelinger, M']","Dept  of Comput  Sci , Univ  of Leicester, Leicester, United Kingdom",2007,WICSA
12,13,"A common approach to software architecture documentation in industry projects is the use of file based documents  This approach offers a single dimensional perspective on the architectural knowledge contained  Knowledge retrieval from file based architecture documentation is efficient if the perspective chosen fits the needs of the readers, it is less so if the perspective does not match the needs of the readers  In this paper we describe an approach aimed at addressing architecture documentation retrieval issues  We have employed a software ontology in a semantic wiki optimized for architecture documentation  We have evaluated this ontology based approach in a controlled industry experiment involving software professionals  The efficiency and effectiveness of the proposed approach is found to be better than that of the file based approach    2012 IEEE   29 refs",Ontology based software architecture documentation,"['Semantics', 'Architectural knowledge', 'Industry project', 'Knowledge retrieval', 'Ontology-based', 'Semantic wiki', 'Computer Programming', 'Information Dissemination']","['De Graaf, Klaas Andries', '', '', 'Tang, Antony', '', '', 'Liang, Peng', '', '', 'Van Vliet, Hans']","VU University, Netherlands  2  Swinburne University of Technology, Australia  3  Wuhan University, China",2012,ECSA
13,14,"A common approach to software architecture documentation in industry projects is the use of file based documents  This approach offers a single dimensional perspective on the architectural knowledge contained  Knowledge retrieval from file based architecture documentation is efficient if the perspective chosen fits the needs of the readers, it is less so if the perspective does not match the needs of the readers  In this paper we describe an approach aimed at addressing architecture documentation retrieval issues  We have employed a software ontology in a semantic wiki optimized for architecture documentation  We have evaluated this ontology based approach in a controlled industry experiment involving software professionals  The efficiency and effectiveness of the proposed approach is found to be better than that of the file based approach    2012 IEEE   29 refs",Ontology based software architecture documentation,"['Semantics', 'Architectural knowledge', 'Industry project', 'Knowledge retrieval', 'Ontology-based', 'Semantic wiki', 'Computer Programming', 'Information Dissemination']","['De Graaf, Klaas Andries', '', '', 'Tang, Antony', '', '', 'Liang, Peng', '', '', 'Van Vliet, Hans']","VU University, Netherlands  2  Swinburne University of Technology, Australia  3  Wuhan University, China",2012,WICSA
14,15,"A common practice in software architecture design is to apply architectural views to design software architecture for the various stakeholder concerns  Architectural views are usually developed based on architectural viewpoints which define the conventions for constructing, interpreting and analyzing views  So far most architectural viewpoints seem to have been primarily used either to support the communication among stakeholders, or at the best to provide a blueprint for the detailed design  In this paper we provide a software language engineering approach to define viewpoints as domain specific languages  This enhances the formal precision of architectural viewpoints and leads to executable views that can be interpreted and analyzed by tools  We illustrate our approach for defining domain specific languages for the viewpoints of the Views and Beyond approach    2011 Springer Verlag   13 refs",Software language engineering of architectural viewpoints,"['Design', 'Software design', 'Architectural Viewpoints', 'Architectural views', 'Detailed design', 'Domain specific languages', 'Domain specific modeling', 'Software architecture design', 'Software Language Engineering', 'Software languages', 'Tool Support', 'Structural Design', 'Computer Programming']","['Demirli, Elif', '', '', 'Tekinerdogan, Bedir']","Department of Computer Engineering, Bilkent University, Ankara 06800, Turkey",2011,ECSA
15,16,"A common practice in software architecture design is to apply architectural views to model the design decisions for the various stakeholder concerns  When dealing with quality concerns, however, it is more difficult to address these explicitly in the architectural views  This is because quality concerns do not easily match the architectural elements that seem to be primarily functional in nature  As a result, the communication and analysis of these quality concerns becomes more problematic in practice  We introduce a general and practical approach for supporting architects to model quality concerns by extending the architectural viewpoints of the so called V B approach  We illustrate the approach for defining recoverability and adaptability viewpoints for an open source software architecture    2011 Springer Verlag   8 refs",Defining architectural viewpoints for quality concerns,"['Open systems', 'Software design', 'Architectural element', 'Architectural views', 'Design decisions', 'Model qualities', 'Recoverability', 'Software architecture design', 'Computer Systems and Equipment', 'Computer Software, Data Handling and Applications']","['Tekinerdogan, Bedir', '', '', 'S zer, Hasan']","Bilkent University, Department of Computer Engineering, Bilkent 06800 Ankara, Turkey  2  Ozyegin University, Department of Computer Engineering, Istanbul, Turkey",2011,ECSA
16,17,"A comparative study of the electrochemical stability of Pt25Cu75 and Pt20Cu20Co60 alloy nanoparticle electrocatalysts in liquid electrolyte half cell environment was conducted  The aforementioned catalysts were shown to possess improved resistance to electrochemical surface area  ECSA  loss during voltage cycling relative to commercially available pure Pt electrocatalysts  The difference in ECSA loss was attributed to their initial mean particle size, which varied depending on the temperature at which the alloy catalysts were prepared  e g  600, 800 and 950  C   Higher preparation temperatures resulted in larger particles and lead to lower ECSA loss  Liquid electrolyte environment short term durability testing  5000 voltages cycles  revealed the addition of cobalt to be beneficial as ternary compositions exhibited stability advantages over binary catalysts  Oxygen reduction reaction  ORR  activity and catalyst stability tests were then performed for both Pt25Cu75 and Pt20Cu20Co60 alloy catalysts in membrane electrode assemblies  MEA   ORR activity data, taken both prior to and at the conclusion of 30,000 voltage cycles from 0 5 to 1 0 V vs  reversible hydrogen electrode  RHE , revealed that both Pt25Cu75 and Pt20Cu20Co60 were able to retain both their mass and Pt surface area based activity advantage relative to Pt C  R  Srivastava, P  Mani, N  Hahn, P  Strasser, Angew  Chem  Int  Ed  46  2007 , 8988  P  Mani, R  Srivastava, P  Strasser, J  Phys  Chem  C 112  2008 , 2770  S  Koh, P  Strasser, J  Am  Chem  Soc  129  2007 , 12624   Further analysis revealed that the Pt surface area based activity, measured at 0 9 V vs  RHE, of commercially available Pt catalysts, as well as that for both Pt25Cu75 and Pt20Cu20Co60 increased on the order of tens of   A c mPt  2 per 1000 voltage cycles  This increase in specific activity combined with a reduced ECSA loss resulted in a negligible change for the Pt mass based activity of Pt25Cu75 alloys annealed at 950  C    2008 Elsevier B V  All rights reserved   28 refs",Electrochemical activity and stability of dealloyed Pt Cu and Pt Cu Co electrocatalysts for the oxygen reduction reaction  ORR,"['Alloys', 'Catalysis', 'Catalyst activity', 'Catalysts', 'Cell membranes', 'Cerium alloys', 'Cobalt', 'Copper', 'Copper alloys', 'Electric batteries', 'Electrocatalysis', 'Electrocatalysts', 'Electrochemistry', 'Electrolysis', 'Electrolytes', 'Electrolytic reduction', 'Fuel cells', 'Hydrogen', 'Metallic compounds', 'Nanoparticles', 'Nonmetals', 'Oxygen', 'Platinum', 'Proton exchange membrane fuel cells (PEMFC)', 'Reduction', 'Solid oxide fuel cells (SOFC)', 'Ternary alloys', 'Ternary systems', 'Transition metals', 'Alloy nanoparticles', 'Dealloyed Pt electrocatalysts', 'Oxygen reduction reaction', 'PEM fuel cell', 'Pt Cu Co ternary alloys', 'Fuel Cells', 'Electric and Magnetic Materials', 'Thermionic Materials', 'Nanotechnology', 'Electrochemistry', 'Chemical Reactions', 'Chemical Agents and Basic Industrial Chemicals', 'Chemical Products Generally', 'Organic Compounds', 'Inorganic Compounds', 'Solid State Physics', 'Electric Batteries', 'Biological Materials and Tissue Engineering', 'Metallurgy and Metallography', 'Metallurgy', 'Metallography', 'Ore Treatment', 'Copper', 'Copper Alloys', 'Precious Metals', 'Rare Earth Metals', 'Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals', 'Electric Batteries and Fuel Cells']","['Neyerlin, K C', '', '', ' Srivastava, Ratndeep', '', '', 'Yu, Chengfei', '', '', 'Strasser, Peter', ' ,', '']","Department of Chemical and Biomolecular Engineering, University of Houston, Houston, TX 77204, United States  2  Institut fuer Chemie, Technische Universitaet Berlin, 10623 Berlin, Germany",2009,ECSA
17,18,"A controlled composition based method   that is, the microwave assisted ethylene glycol  MEG  method   was successfully developed to prepare bimetallic PtxRu100 x C nanoparticles  NPs  with different alloy compositions  This study highlights the impact of the variation in alloy composition of PtxRu100 x C NPs on their alloying extent  structure  and subsequently their catalytic activity towards the methanol oxidation reaction  MOR   The alloying extent of these PtxRu 100 x C NPs has a strong influence on their Pt d band vacancy and Pt electroactive surface area  Pt ECSA   this relationship was systematically evaluated by using X ray absorption  XAS , scanning electron microscopy  SEM  coupled with energy dispersive X ray spectroscopy  EDX , transmission electron microscopy  TEM , density functional theory  DFT  calculations, and electrochemical analyses  The MOR activity depends on two effects that act in cooperation, namely, the number of active Pt sites and their activity  Here the number of active Pt sites is associated with the Pt ECSA value, whereas the Pt site activity is associated with the alloying extent and Pt d band vacancy  electronic  effects  Among the PtxRu100 x C NPs with various Pt Ru atomic ratios  x 25, 50, and 75 , the Pt75Ru 25 C NPs were shown to be superior in MOR activity on account of their favorable alloying extent, Pt d band vacancy, and Pt ECSA  This short study brings new insight into probing the synergistic effect on the surface reactivity of the PtxRu100 x C NPs, and possibly other bimetallic Pt based alloy NPs  Control and catalysis  This study reports a controlled composition based synthesis and characterization of selected bimetallic PtxRu100 x C nanoparticles and simultaneously demonstrates their physiochemical properties   that is, their alloying extent and electronic structure   by focusing on the catalytic activity  see figure   A methanol oxidation reaction was used as a model system  Copyright   2013 WILEY VCH Verlag GmbH   Co  KGaA, Weinheim   68 refs",Relating the composition of PtxRu100 x C nanoparticles to their structural aspects and electrocatalytic activities in the methanol oxidation reaction,"['Alloying', 'Alloys', 'Catalyst activity', 'Cerium alloys', 'Density functional theory', 'Electronic structure', 'Ethylene glycol', 'Methanol', 'Nanoparticles', 'Oxidation', 'Platinum', 'Ruthenium', 'Ruthenium alloys', 'Scanning electron microscopy', 'Synthesis (chemical)', 'Transmission electron microscopy', 'X ray spectroscopy', 'Alloy compositions', 'Atomic ratio', 'Density functional theory calculations', 'Electroactive surface areas', 'Electrocatalytic activity', 'Electrochemical analysis', 'Electronic effects', 'Energy dispersive X ray spectroscopy', 'Methanol oxidation reactions', 'Microwave-assisted', 'Model system', 'Physio-chemical properties', 'Structural aspects', 'Surface reactivity', 'Synergistic effect', 'Transmission electron microscopy tem', 'Solid State Physics', 'Organic Compounds', 'Chemical Reactions', 'Chemistry', 'Nanotechnology', 'Optical Devices and Systems', 'Light Optics', 'Electric and Magnetic Materials', 'Rare Earth Metals', 'Precious Metals', 'Metallurgy']","['Taufany, Fadlilatul', ' ,', '', ' Pan, Chun Jern', '', '', 'Lai, Feng Ju', '', '', 'Chou, Hung Lung', '', '', 'Sarma, Loka Subramanyam', '', '', 'Rick, John', '', '', 'Lin, Jhih Min', '', '', 'Lee, Jyh Fu', '', '', 'Tang, Mau Tsu', '', '', 'Hwang, Bing Joe', ' ,', '']","Department of Chemical Engineering, National Taiwan University of Science and Technology,  43, Sec  4, Keelung Rd , Taipei, 10607, Taiwan  2  Department of Chemical Engineering, Institut Teknologi Sepuluh Nopember, Surabaya 60111, Indonesia  3  National Synchrotron Radiation Research Center, 101 Hsin Ann Road, Hsinchu Science Park, Hsinchu 30076, Taiwan",2013,ECSA
18,19,"A controlled release system composed of surface modified porous polycaprolactone  PCL  membranes combined with a layer of tetraorthosilicate  TEOS  chitosan sol gel was reported in this study  PCL is a hydrophobic, semi crystalline, and biodegradable polymer with a relatively slow degradation rate  The drugs chosen for release experiments were silver sulfadiazine  AgSD  and ketoprofen which were impregnated in the TEOS chitosan sol gel  The surface modification was achieved by O2 plasma and the surfaces were characterized by water contact angle  WCA  measurements, atomic force microscope  AFM , scanning electron microscope and electron spectroscopy for chemical analysis  ESCA   The results showed that the release of AgSD on O2 plasma treated porous PCL membranes was prolonged when compared with the pristine sample  On the contrary, the release rate of ketoprofen revealed no significant difference on pristine and plasma treated PCL membranes  The prepared PCL membranes showed good biocompatibility for the wound dressing biomaterial applications   All rights reserved Elsevier    38 refs",Integrating sol gel with cold plasmas modified porous polycaprolactone membranes for the drug release of silver sulfadiazine and ketoprofen,"['atomic force microscopy', 'biodegradable materials', 'biomedical materials', 'biomembranes', 'contact angle', 'drug delivery systems', 'drugs', 'ESCA', 'hydrophobicity', 'plasma materials processing', 'polymer gels', 'porosity', 'porous materials', 'scanning electron microscopy', 'silver', 'sol-gel processing', 'sols', 'surface treatment', 'wounds', 'sol-gel integration', 'cold plasma modified porous polycaprolactone membrane surface', 'silver-sulfadiazine drug release', 'ketoprofen drug release', 'tetraorthosilicate-chitosan sol-gel layers', 'hydrophobic polymer', 'semicrystalline polymer', 'biodegradable polymer', 'degradation rate', 'surface modification', 'O2 plasma treatment', 'water contact angle', 'atomic force microscopy', 'AFM', 'scanning electron microscopy', 'electron spectroscopy-for-chemical analysis', 'pristine sample', 'biocompatibility', 'wound dressing biomaterial applications', 'ECSA', 'Ag', 'Biomedical materials', 'Surface treatment and degradation of polymers and plastics', 'Fluid surface energy  surface tension, interface tension, angle of contact, etc', 'A     Solid surface structure', 'Electron spectroscopy for chemical analysis  photoelectron, Auger spectroscopy, etc', 'A    F Physics of subcellular structures', 'Natural and artificial biomembranes', 'Gels and sols', 'Plasma applications in manufacturing and materials processing', 'Structure of powders and porous materials', 'Patient care and treatment']","['Mangindaan, D', '', '', ' Chao Ting Chen', '', '', 'Meng Jiy Wang']","Dept  of Chem  Eng , Nat  Taiwan Univ  of Sci    Technol , Taipei, Taiwan",2012,ECSA
19,20,"A crucial aspect of the software architect s role is to ensure that a system based on their architecture will exhibit the quality properties  performance, security, availability and so on  that are important to their stakeholders  A proven approach to help guide an architect through the process of designing an architecture is to use architectural views, based on formal viewpoint definitions  such as those in the well known  4 1  set   However, a practical problem we have found when using existing viewpoint sets is the lack of guidance relating to system qualities  as opposed to system structures  that they provide  To address this problem, we identified a complimentary concept, called the architectural perspective  15 , to provide an architect with practical guidance as to how to ensure that their system exhibits the right set of quality properties  This paper reviews the idea of the architectural perspective and relates a specific experience of applying them to the architectural definition of an enterprise integration project for a financial markets organisation, explaining the strengths and weaknesses we found in the approach    2005 IEEE   16 refs",Using architectural perspectives,"['Engineers', 'Industrial economics', 'Marketing', 'Problem solving', 'Project management', 'Financial markets', 'Formal viewpoint', 'Software architect', 'Artificial Intelligence', 'Computer Applications', 'Engineering Professional Aspects', 'Industrial Economics', 'Marketing', 'Management']","['Woods, Eoin', '', '', 'Rozanski, Nick']",Artechra,2005,WICSA
